"season_1","season_2","team_id","team_name","player_id","player_name","game_id","game_date","home_team","away_team","quarter","mins_left","secs_left","secs_left_q","event_type","shot_made","action_type","shot_type","basic_zone","zone_name","zone_abb","zone_range","loc_x","loc_y","shot_distance","is_three","shot_value","is_clutch"
2008,"2007-08","1610612764","Washington Wizards","2052","DeShawn Stevenson","20700306","2007-12-11","WAS","MIN",1,3,9,72,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-22.3","15.95","24",1,3,0
2008,"2007-08","1610612761","Toronto Raptors","2551","T.J. Ford","20700307","2007-12-11","ATL","TOR",1,5,4,69,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","16-24 ft.","-17.9","4.35","17",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","1884","Baron Davis","20700313","2007-12-11","GSW","SAS",1,4,3,67,"Missed Shot",False,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","0.5","10.35","5",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","2124","Malik Allen","20700309","2007-12-11","NJN","LAC",1,3,12,75,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","13.1","21.25","20",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","2742","Sebastian Telfair","20700306","2007-12-11","WAS","MIN",1,3,25,88,"Made Shot",True,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0.2","4.35","0",0,2,0
2008,"2007-08","1610612737","Atlanta Hawks","2207","Joe Johnson","20700307","2007-12-11","ATL","TOR",1,5,30,95,"Made Shot",True,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","16.9","23.85","25",1,3,0
2008,"2007-08","1610612762","Utah Jazz","200758","Ronnie Brewer","20700312","2007-12-11","UTA","POR",1,4,23,87,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","2404","Chris Wilcox","20700311","2007-12-11","CHI","SEA",1,3,13,76,"Made Shot",True,"Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","1739","Ruben Patterson","20700309","2007-12-11","NJN","LAC",1,3,25,88,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612757","Portland Trail Blazers","2566","Travis Outlaw","20700312","2007-12-11","UTA","POR",1,4,38,102,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","8-16 ft.","-11.5","5.25","11",0,2,0
